product_id,product_name,description,category,brand,unit_price,sku,is_active
PRD_0001,Classic Bamboo Desk Lamp,A premium quality classic desk lamp crafted from durable bamboo. Designed by Lumina Design.,Lighting,Lumina Design,78.25,LUM-LIG-DES-NT3W,True
PRD_0002,Nordic Walnut Ceramic Vase,A premium quality nordic ceramic vase crafted from durable walnut. Designed by Elegance Decor.,Decor,Elegance Decor,64.11,ELE-DEC-CER-945N,True
PRD_0003,Rustic Linen Pillow Set,A premium quality rustic pillow set crafted from durable linen. Designed by CozyNest.,Bed & Bath,CozyNest,32.57,COZ-BED-PIL-J7XV,True
PRD_0004,Artisan Teak Wood Cutting Board,A premium quality artisan wood cutting board crafted from durable teak. Designed by Terra Cotta.,Kitchen & Dining,Terra Cotta,32.08,TER-KIT-WOO-9XUY,True
PRD_0005,Artisan Walnut Wire Shelving,A premium quality artisan wire shelving crafted from durable walnut. Designed by Acme Tidy.,Storage & Organization,Acme Tidy,66.1,ACM-STO-WIR-C6UZ,True
PRD_0006,Bohemian Wool Nightstand,A premium quality bohemian nightstand crafted from durable wool. Designed by Heritage Oak.,Furniture,Heritage Oak,71.43,HER-FUR-NIG-F0T0,True
PRD_0007,Bohemian Linen Chandelier,A premium quality bohemian chandelier crafted from durable linen. Designed by Lumina Design.,Lighting,Lumina Design,997.73,LUM-LIG-CHA-ER14,True
PRD_0008,Bohemian Brass Wall Mirror,A premium quality bohemian wall mirror crafted from durable brass. Designed by Terra Clay.,Decor,Terra Clay,95.41,TER-DEC-WAL-VQJT,True
PRD_0009,Nordic Wool Bath Mat,A premium quality nordic bath mat crafted from durable wool. Designed by Cloud Soft.,Bed & Bath,Cloud Soft,24.52,CLO-BED-BAT-1MKF,True
PRD_0010,Minimalist Bamboo Wood Cutting Board,A premium quality minimalist wood cutting board crafted from durable bamboo. Designed by Acme Chef.,Kitchen & Dining,Acme Chef,37.85,ACM-KIT-WOO-DW4S,True
PRD_0011,Rustic Bamboo Fabric Closet Organizer,A premium quality rustic fabric closet organizer crafted from durable bamboo. Designed by Box & Bin.,Storage & Organization,Box & Bin,37.72,BOX-STO-FAB-VREN,False
PRD_0012,Artisan Walnut Bookshelf,A premium quality artisan bookshelf crafted from durable walnut. Designed by Nordic Craft.,Furniture,Nordic Craft,360.96,NOR-FUR-BOO-8DRC,True
PRD_0013,Rustic Wool Table Lamp,A premium quality rustic table lamp crafted from durable wool. Designed by GlowStudio.,Lighting,GlowStudio,143.09,GLO-LIG-TAB-FSV8,True
PRD_0014,Minimalist Ceramic Ceramic Vase,A premium quality minimalist ceramic vase crafted from durable ceramic. Designed by Artisan Weave.,Decor,Artisan Weave,40.67,ART-DEC-CER-SEIM,True
PRD_0015,Vintage Steel Duvet Cover Set,A premium quality vintage duvet cover set crafted from durable steel. Designed by Loom & Thread.,Bed & Bath,Loom & Thread,60.65,LOO-BED-DUV-WI64,True
PRD_0016,Minimalist Wool Cookware Set,A premium quality minimalist cookware set crafted from durable wool. Designed by Terra Cotta.,Kitchen & Dining,Terra Cotta,148.56,TER-KIT-COO-E7UR,True
PRD_0017,Artisan Oak Shoe Rack,A premium quality artisan shoe rack crafted from durable oak. Designed by SpaceSavers.,Storage & Organization,SpaceSavers,44.65,SPA-STO-SHO-MO5B,True
PRD_0018,Nordic Walnut Armchair,A premium quality nordic armchair crafted from durable walnut. Designed by Heritage Oak.,Furniture,Heritage Oak,477.7,HER-FUR-ARM-2DGT,True
PRD_0019,Minimalist Glass Table Lamp,A premium quality minimalist table lamp crafted from durable glass. Designed by Lumina Design.,Lighting,Lumina Design,133.68,LUM-LIG-TAB-C34D,True
