case_id,customer_id,product_id,status,priority,subject,created_date,resolution_time_hours
CAS-000001,CUST_16822,PRD_1211,New,Low,Billing question,2025-07-09 12:17:08,
CAS-000002,CUST_00624,PRD_0865,In Progress,Low,Return request,2025-07-09 13:17:08,
CAS-000003,CUST_15511,PRD_0240,Closed,Low,Billing question,2025-07-09 15:17:08,109.3
CAS-000004,CUST_14295,PRD_0043,Closed,Medium,Need help with assembly,2025-07-09 16:17:08,75.9
CAS-000005,CUST_11268,PRD_0898,In Progress,Low,Warranty claim inquiry,2025-07-09 20:17:08,
CAS-000006,CUST_19730,PRD_1465,Closed,Medium,Billing question,2025-07-09 21:17:08,115.4
CAS-000007,CUST_12792,PRD_0854,In Progress,Low,Return request,2025-07-10 03:17:08,
CAS-000008,CUST_06790,PRD_0579,Closed,Medium,Where is my order?,2025-07-10 06:17:08,142.0
CAS-000009,CUST_19850,PRD_1008,Closed,Low,Where is my order?,2025-07-10 07:17:08,34.3
CAS-000010,CUST_07692,PRD_0429,Closed,High,Product arrived damaged,2025-07-10 08:17:08,83.5
CAS-000011,CUST_05198,PRD_0358,Closed,Low,Product arrived damaged,2025-07-10 09:17:08,44.6
CAS-000012,CUST_07429,PRD_0248,Closed,Low,Warranty claim inquiry,2025-07-10 19:17:08,20.0
CAS-000013,CUST_01530,PRD_1141,Closed,Critical,Missing parts in box,2025-07-10 21:17:08,132.1
CAS-000014,CUST_19802,PRD_1372,Closed,High,Where is my order?,2025-07-10 23:17:08,146.9
CAS-000015,CUST_14980,PRD_0228,Closed,High,Where is my order?,2025-07-10 23:17:08,74.1
CAS-000016,CUST_03339,PRD_1152,Closed,Medium,Product arrived damaged,2025-07-11 13:17:08,144.4
CAS-000017,CUST_06731,PRD_0741,Closed,Low,Need help with assembly,2025-07-11 14:17:08,20.7
CAS-000018,CUST_16332,PRD_0204,Closed,Medium,Need help with assembly,2025-07-11 20:17:08,128.2
CAS-000019,CUST_06616,PRD_0900,Closed,Low,Defective item,2025-07-11 21:17:08,24.0
CAS-000020,CUST_15522,PRD_0700,Closed,Low,Missing parts in box,2025-07-11 21:17:08,140.4
CAS-000021,CUST_13600,PRD_0739,Closed,Low,Warranty claim inquiry,2025-07-12 04:17:08,63.2
CAS-000022,CUST_13819,PRD_0468,In Progress,Medium,Need help with assembly,2025-07-12 05:17:08,
CAS-000023,CUST_15033,PRD_1058,Closed,Medium,Return request,2025-07-12 09:17:08,69.4
CAS-000024,CUST_16953,PRD_0143,Closed,Medium,Where is my order?,2025-07-12 10:17:08,129.6
CAS-000025,CUST_05385,PRD_0889,Escalated,Medium,Product arrived damaged,2025-07-12 10:17:08,
CAS-000026,CUST_04947,PRD_1177,Closed,Low,Product arrived damaged,2025-07-12 13:17:08,155.1
CAS-000027,CUST_17033,PRD_0606,Closed,Critical,Defective item,2025-07-12 14:17:08,134.4
CAS-000028,CUST_09973,PRD_1478,Closed,Medium,Return request,2025-07-12 16:17:08,93.5
CAS-000029,CUST_17295,PRD_1251,Closed,Low,Need help with assembly,2025-07-12 16:17:08,47.7
CAS-000030,CUST_17840,PRD_1279,Closed,Medium,Billing question,2025-07-12 16:17:08,35.3
CAS-000031,CUST_13255,PRD_0405,Closed,High,Missing parts in box,2025-07-12 22:17:08,131.5
CAS-000032,CUST_12780,PRD_1486,New,Medium,Need help with assembly,2025-07-13 02:17:08,
CAS-000033,CUST_16767,PRD_1131,Closed,Medium,Missing parts in box,2025-07-13 04:17:08,36.7
CAS-000034,CUST_00914,PRD_1106,Closed,Medium,Missing parts in box,2025-07-13 04:17:08,27.7
CAS-000035,CUST_13853,PRD_1035,In Progress,Medium,Where is my order?,2025-07-13 05:17:08,
CAS-000036,CUST_16630,PRD_0726,Closed,High,Where is my order?,2025-07-13 07:17:08,44.4
CAS-000037,CUST_04088,PRD_0920,New,Medium,Missing parts in box,2025-07-13 11:17:08,
CAS-000038,CUST_07737,PRD_1192,Closed,Low,Warranty claim inquiry,2025-07-13 12:17:08,57.6
CAS-000039,CUST_18769,PRD_1378,Closed,Low,Need help with assembly,2025-07-13 13:17:08,132.1
