inventory_id,store_id,product_id,stock_level,last_updated
INV_000001,STR_000,PRD_0001,519,2026-07-06 09:32:32
INV_000002,STR_000,PRD_0002,335,2026-07-06 10:38:32
INV_000003,STR_000,PRD_0003,283,2026-07-06 07:38:32
INV_000004,STR_000,PRD_0004,847,2026-07-06 10:55:32
INV_000005,STR_000,PRD_0005,220,2026-07-06 11:40:32
INV_000006,STR_000,PRD_0006,765,2026-07-06 09:19:32
INV_000007,STR_000,PRD_0007,901,2026-07-06 11:15:32
INV_000008,STR_000,PRD_0008,673,2026-07-06 09:02:32
INV_000009,STR_000,PRD_0009,559,2026-07-06 06:37:32
INV_000010,STR_000,PRD_0010,430,2026-07-06 11:49:32
INV_000011,STR_000,PRD_0012,242,2026-07-06 06:28:32
INV_000012,STR_000,PRD_0013,268,2026-07-06 09:20:32
INV_000013,STR_000,PRD_0014,190,2026-07-06 06:35:32
INV_000014,STR_000,PRD_0015,181,2026-07-06 10:35:32
INV_000015,STR_000,PRD_0016,478,2026-07-06 06:31:32
INV_000016,STR_000,PRD_0017,610,2026-07-06 08:45:32
INV_000017,STR_000,PRD_0018,199,2026-07-06 07:02:32
INV_000018,STR_000,PRD_0019,280,2026-07-06 06:47:32
INV_000019,STR_000,PRD_0020,856,2026-07-06 07:15:32
INV_000020,STR_000,PRD_0021,743,2026-07-06 06:34:32
INV_000021,STR_000,PRD_0022,969,2026-07-06 09:04:32
INV_000022,STR_000,PRD_0023,996,2026-07-06 11:06:32
INV_000023,STR_000,PRD_0024,167,2026-07-06 07:29:32
INV_000024,STR_000,PRD_0025,296,2026-07-06 11:44:32
INV_000025,STR_000,PRD_0026,836,2026-07-06 06:45:32
INV_000026,STR_000,PRD_0027,557,2026-07-06 08:29:32
INV_000027,STR_000,PRD_0028,183,2026-07-06 08:25:32
INV_000028,STR_000,PRD_0029,280,2026-07-06 06:19:32
INV_000029,STR_000,PRD_0030,981,2026-07-06 09:42:32
INV_000030,STR_000,PRD_0031,509,2026-07-06 11:03:32
INV_000031,STR_000,PRD_0032,958,2026-07-06 09:55:32
INV_000032,STR_000,PRD_0033,332,2026-07-06 09:34:32
INV_000033,STR_000,PRD_0034,426,2026-07-06 07:05:32
INV_000034,STR_000,PRD_0035,831,2026-07-06 09:30:32
INV_000035,STR_000,PRD_0036,601,2026-07-06 06:49:32
INV_000036,STR_000,PRD_0037,664,2026-07-06 11:24:32
INV_000037,STR_000,PRD_0038,651,2026-07-06 06:44:32
INV_000038,STR_000,PRD_0039,597,2026-07-06 10:16:32
INV_000039,STR_000,PRD_0040,515,2026-07-06 08:14:32
INV_000040,STR_000,PRD_0041,339,2026-07-06 11:28:32
INV_000041,STR_000,PRD_0042,419,2026-07-06 10:25:32
INV_000042,STR_000,PRD_0043,641,2026-07-06 06:14:32
INV_000043,STR_000,PRD_0044,778,2026-07-06 07:54:32
INV_000044,STR_000,PRD_0045,530,2026-07-06 07:50:32
INV_000045,STR_000,PRD_0046,730,2026-07-06 09:52:32
INV_000046,STR_000,PRD_0047,387,2026-07-06 08:23:32
INV_000047,STR_000,PRD_0048,690,2026-07-06 10:50:32
INV_000048,STR_000,PRD_0049,784,2026-07-06 06:35:32
INV_000049,STR_000,PRD_0050,412,2026-07-06 11:11:32
INV_000050,STR_000,PRD_0051,882,2026-07-06 09:21:32
INV_000051,STR_000,PRD_0052,335,2026-07-06 06:39:32
INV_000052,STR_000,PRD_0053,464,2026-07-06 09:15:32
INV_000053,STR_000,PRD_0054,400,2026-07-06 10:14:32
INV_000054,STR_000,PRD_0055,957,2026-07-06 06:24:32
INV_000055,STR_000,PRD_0056,518,2026-07-06 08:05:32
INV_000056,STR_000,PRD_0057,873,2026-07-06 08:30:32
INV_000057,STR_000,PRD_0058,981,2026-07-06 09:48:32
INV_000058,STR_000,PRD_0059,489,2026-07-06 10:04:32
INV_000059,STR_000,PRD_0060,993,2026-07-06 07:44:32
INV_000060,STR_000,PRD_0061,846,2026-07-06 10:03:32
INV_000061,STR_000,PRD_0062,678,2026-07-06 09:48:32
INV_000062,STR_000,PRD_0063,967,2026-07-06 06:18:32
INV_000063,STR_000,PRD_0064,730,2026-07-06 06:26:32
INV_000064,STR_000,PRD_0065,220,2026-07-06 08:10:32
INV_000065,STR_000,PRD_0066,283,2026-07-06 07:42:32
INV_000066,STR_000,PRD_0067,157,2026-07-06 07:55:32
INV_000067,STR_000,PRD_0068,885,2026-07-06 06:35:32
INV_000068,STR_000,PRD_0070,753,2026-07-06 06:27:32
INV_000069,STR_000,PRD_0071,343,2026-07-06 11:24:32
INV_000070,STR_000,PRD_0072,156,2026-07-06 09:53:32
INV_000071,STR_000,PRD_0073,583,2026-07-06 07:15:32
INV_000072,STR_000,PRD_0074,805,2026-07-06 11:44:32
INV_000073,STR_000,PRD_0075,998,2026-07-06 07:41:32
INV_000074,STR_000,PRD_0076,130,2026-07-06 07:16:32
INV_000075,STR_000,PRD_0077,436,2026-07-06 06:29:32
INV_000076,STR_000,PRD_0078,718,2026-07-06 06:35:32
INV_000077,STR_000,PRD_0079,216,2026-07-06 10:52:32
INV_000078,STR_000,PRD_0080,956,2026-07-06 06:07:32
INV_000079,STR_000,PRD_0081,610,2026-07-06 10:34:32
INV_000080,STR_000,PRD_0082,746,2026-07-06 11:13:32
INV_000081,STR_000,PRD_0083,153,2026-07-06 06:09:32
INV_000082,STR_000,PRD_0084,459,2026-07-06 07:57:32
INV_000083,STR_000,PRD_0085,607,2026-07-06 09:08:32
INV_000084,STR_000,PRD_0086,241,2026-07-06 09:35:32
INV_000085,STR_000,PRD_0087,173,2026-07-06 06:45:32
INV_000086,STR_000,PRD_0088,899,2026-07-06 07:29:32
INV_000087,STR_000,PRD_0089,324,2026-07-06 11:31:32
INV_000088,STR_000,PRD_0090,141,2026-07-06 09:07:32
INV_000089,STR_000,PRD_0091,631,2026-07-06 07:53:32
INV_000090,STR_000,PRD_0092,801,2026-07-06 09:51:32
INV_000091,STR_000,PRD_0093,476,2026-07-06 08:10:32
INV_000092,STR_000,PRD_0094,958,2026-07-06 07:29:32
INV_000093,STR_000,PRD_0095,263,2026-07-06 10:08:32
INV_000094,STR_000,PRD_0096,182,2026-07-06 09:25:32
INV_000095,STR_000,PRD_0097,245,2026-07-06 07:36:32
INV_000096,STR_000,PRD_0098,290,2026-07-06 09:13:32
INV_000097,STR_000,PRD_0099,112,2026-07-06 09:54:32
INV_000098,STR_000,PRD_0100,528,2026-07-06 11:37:32
INV_000099,STR_000,PRD_0101,250,2026-07-06 07:57:32
INV_000100,STR_000,PRD_0103,699,2026-07-06 11:05:32
INV_000101,STR_000,PRD_0104,133,2026-07-06 07:41:32
INV_000102,STR_000,PRD_0105,974,2026-07-06 06:23:32
INV_000103,STR_000,PRD_0106,485,2026-07-06 08:33:32
INV_000104,STR_000,PRD_0108,342,2026-07-06 09:40:32
INV_000105,STR_000,PRD_0109,644,2026-07-06 11:34:32
INV_000106,STR_000,PRD_0110,598,2026-07-06 10:23:32
INV_000107,STR_000,PRD_0111,702,2026-07-06 07:44:32
INV_000108,STR_000,PRD_0112,875,2026-07-06 10:54:32
INV_000109,STR_000,PRD_0113,565,2026-07-06 11:46:32
INV_000110,STR_000,PRD_0114,859,2026-07-06 09:34:32
INV_000111,STR_000,PRD_0115,581,2026-07-06 11:26:32
INV_000112,STR_000,PRD_0116,289,2026-07-06 08:22:32
INV_000113,STR_000,PRD_0117,862,2026-07-06 11:00:32
INV_000114,STR_000,PRD_0118,264,2026-07-06 11:44:32
INV_000115,STR_000,PRD_0119,296,2026-07-06 07:37:32
INV_000116,STR_000,PRD_0120,129,2026-07-06 09:00:32
INV_000117,STR_000,PRD_0121,293,2026-07-06 09:36:32
INV_000118,STR_000,PRD_0122,674,2026-07-06 09:47:32
INV_000119,STR_000,PRD_0123,551,2026-07-06 06:23:32
INV_000120,STR_000,PRD_0124,633,2026-07-06 09:33:32
INV_000121,STR_000,PRD_0125,723,2026-07-06 06:16:32
INV_000122,STR_000,PRD_0126,621,2026-07-06 06:16:32
INV_000123,STR_000,PRD_0127,984,2026-07-06 10:36:32
INV_000124,STR_000,PRD_0128,788,2026-07-06 07:46:32
INV_000125,STR_000,PRD_0129,602,2026-07-06 11:11:32
INV_000126,STR_000,PRD_0130,847,2026-07-06 06:08:32
INV_000127,STR_000,PRD_0131,156,2026-07-06 06:35:32
INV_000128,STR_000,PRD_0132,176,2026-07-06 09:07:32
INV_000129,STR_000,PRD_0135,649,2026-07-06 11:01:32
INV_000130,STR_000,PRD_0136,640,2026-07-06 07:56:32
INV_000131,STR_000,PRD_0137,385,2026-07-06 09:54:32
INV_000132,STR_000,PRD_0138,393,2026-07-06 08:43:32
INV_000133,STR_000,PRD_0139,467,2026-07-06 06:08:32
INV_000134,STR_000,PRD_0140,295,2026-07-06 06:47:32
INV_000135,STR_000,PRD_0141,502,2026-07-06 06:41:32
INV_000136,STR_000,PRD_0142,535,2026-07-06 11:17:32
INV_000137,STR_000,PRD_0143,305,2026-07-06 10:58:32
INV_000138,STR_000,PRD_0144,301,2026-07-06 06:29:32
INV_000139,STR_000,PRD_0145,727,2026-07-06 06:14:32
INV_000140,STR_000,PRD_0146,541,2026-07-06 09:56:32
INV_000141,STR_000,PRD_0147,295,2026-07-06 08:01:32
INV_000142,STR_000,PRD_0148,336,2026-07-06 09:54:32
INV_000143,STR_000,PRD_0149,972,2026-07-06 05:57:32
INV_000144,STR_000,PRD_0150,275,2026-07-06 11:10:32
INV_000145,STR_000,PRD_0151,205,2026-07-06 05:49:32
INV_000146,STR_000,PRD_0152,223,2026-07-06 08:26:32
INV_000147,STR_000,PRD_0153,741,2026-07-06 07:55:32
INV_000148,STR_000,PRD_0154,588,2026-07-06 07:45:32
INV_000149,STR_000,PRD_0155,886,2026-07-06 06:06:32
